polymer conc,Rejection,polymer conc,Resistancce,polymer conc,poresize
26.71017204,80.32919831,20.62116435,3.565302333,20.52704779,17.56636516
26.82945411,80.27924574,20.78075875,3.55191681,20.65833924,17.64027243
26.99644901,80.21681886,21.00875075,3.525228776,20.8158939,17.70185498
27.18730032,80.16692165,21.21394355,3.525042001,20.9734441,17.7880795
27.30658239,80.09194665,21.44193555,3.485113713,21.10084201,17.84113816
27.47357728,80.02951978,21.62432915,3.471707438,21.28473864,17.90822288
27.56900294,79.97954875,21.80672275,3.458301162,21.48906784,17.98489197
27.73599783,79.91712187,22.03471475,3.418372874,21.67295753,18.09032575
27.87913632,79.86718775,22.21710835,3.404966599,21.85685416,18.15741048
27.97456197,79.82972793,22.39950195,3.391560323,21.97944959,18.21491665
28.09384404,79.77977536,22.62749395,3.378112542,22.10204329,18.28201008
28.21312611,79.72982279,22.76428916,3.338267265,22.18377532,18.31076026
28.33240818,79.67987021,23.03787956,3.338018232,22.26550562,18.34909771
